@relation satisfacao_delivery

@attribute tempo_entrega numeric
@attribute comunicacao_entregador numeric
@attribute atualizacoes_status numeric
@attribute facilidade_contato {facil,media,dificil}
@attribute resposta_suporte numeric
@attribute problema_resolvido {sim,nao,nao_houve}
@attribute satisfacao {Alta,Media,Baixa}

@data
44,4,7,facil,3,nao_houve,Alta
30,5,9,facil,5,sim,Alta
39,4,5,facil,2,nao_houve,Alta
32,5,8,facil,4,sim,Alta
41,4,6,facil,6,nao_houve,Alta
28,5,7,facil,3,sim,Alta
43,4,9,facil,5,nao_houve,Alta
36,5,5,facil,2,sim,Alta
45,4,8,facil,4,nao_houve,Alta
27,5,6,facil,7,sim,Alta
40,4,7,facil,3,nao_houve,Alta
33,5,9,facil,5,sim,Alta
37,4,5,facil,2,nao_houve,Alta
42,5,8,facil,4,sim,Alta
29,4,6,facil,6,nao_houve,Alta
38,5,7,facil,3,sim,Alta
31,4,9,facil,5,nao_houve,Alta
44,5,5,facil,2,sim,Alta
25,4,8,facil,4,nao_houve,Alta
35,5,6,facil,7,sim,Alta
41,4,7,facil,3,nao_houve,Alta
30,5,9,facil,5,sim,Alta
39,4,5,facil,2,nao_houve,Alta
34,5,8,facil,4,sim,Alta
43,4,6,facil,6,nao_houve,Alta
26,5,7,facil,3,sim,Alta
40,4,9,facil,5,nao_houve,Alta
36,5,5,facil,2,sim,Alta
45,4,8,facil,4,nao_houve,Alta
28,5,6,facil,7,sim,Alta
42,4,7,facil,3,nao_houve,Alta
32,5,9,facil,5,sim,Alta
37,4,5,facil,2,nao_houve,Alta
44,5,8,facil,4,sim,Alta
27,4,6,facil,6,nao_houve,Alta
38,5,7,facil,3,sim,Alta
33,4,9,facil,5,nao_houve,Alta
41,5,5,facil,2,sim,Alta
29,4,8,facil,4,nao_houve,Alta
35,5,6,facil,7,sim,Alta
43,4,7,facil,3,nao_houve,Alta
31,5,9,facil,5,sim,Alta
39,4,5,facil,2,nao_houve,Alta
45,5,8,facil,4,sim,Alta
25,4,6,facil,6,nao_houve,Alta
34,5,7,facil,3,sim,Alta
40,4,9,facil,5,nao_houve,Alta
30,5,5,facil,2,sim,Alta
42,4,8,facil,4,nao_houve,Alta
36,5,6,facil,7,sim,Alta
44,4,7,facil,3,nao_houve,Alta
26,5,9,facil,5,sim,Alta
38,4,5,facil,2,nao_houve,Alta
32,5,8,facil,4,sim,Alta
70,2,1,dificil,18,nao,Baixa
78,1,0,dificil,25,nao,Baixa
68,2,2,media,20,nao,Baixa
75,1,1,dificil,22,nao,Baixa
82,2,0,dificil,28,nao,Baixa
67,1,2,media,19,nao,Baixa
73,2,1,dificil,24,nao,Baixa
80,1,0,dificil,26,nao,Baixa
71,2,2,media,21,nao,Baixa
77,1,1,dificil,23,nao,Baixa
85,2,0,dificil,29,nao,Baixa
66,1,2,media,17,nao,Baixa
74,2,1,dificil,25,nao,Baixa
81,1,0,dificil,27,nao,Baixa
69,2,2,media,18,nao,Baixa
76,1,1,dificil,24,nao,Baixa
83,2,0,dificil,30,nao,Baixa
72,1,2,media,20,nao,Baixa
79,2,1,dificil,26,nao,Baixa
87,1,0,dificil,28,nao,Baixa
68,2,2,media,19,nao,Baixa
75,1,1,dificil,22,nao,Baixa
70,2,0,dificil,25,nao,Baixa
77,1,2,media,21,nao,Baixa
84,2,1,dificil,27,nao,Baixa
66,1,0,dificil,23,nao,Baixa
73,2,2,media,18,nao,Baixa
80,1,1,dificil,26,nao,Baixa
71,2,0,dificil,24,nao,Baixa
78,1,2,media,20,nao,Baixa
86,2,1,dificil,29,nao,Baixa
67,1,0,dificil,22,nao,Baixa
74,2,2,media,19,nao,Baixa
81,1,1,dificil,25,nao,Baixa
69,2,0,dificil,21,nao,Baixa
76,1,2,media,23,nao,Baixa
82,2,1,dificil,28,nao,Baixa
72,1,0,dificil,26,nao,Baixa
79,2,2,media,24,nao,Baixa
88,1,1,dificil,30,nao,Baixa
68,2,0,dificil,20,nao,Baixa
75,1,2,media,22,nao,Baixa
70,2,1,dificil,27,nao,Baixa
77,1,0,dificil,25,nao,Baixa
85,2,2,media,29,nao,Baixa
66,1,1,dificil,19,nao,Baixa
73,2,0,dificil,23,nao,Baixa
80,1,2,media,26,nao,Baixa
71,2,1,dificil,21,nao,Baixa
78,1,0,dificil,24,nao,Baixa
35,2,5,media,12,nao_houve,Media
50,3,4,facil,10,sim,Media
58,4,2,media,8,nao_houve,Media
46,3,6,media,11,sim,Media
62,2,3,facil,14,nao_houve,Media
52,3,5,media,9,sim,Media
44,4,2,facil,13,nao_houve,Media
56,3,4,media,10,sim,Media
48,2,6,facil,12,nao_houve,Media
60,3,3,media,8,sim,Media
54,4,5,facil,11,nao_houve,Media
42,3,2,media,15,sim,Media
58,2,4,facil,9,nao_houve,Media
51,3,6,media,13,sim,Media
47,4,3,facil,10,nao_houve,Media
63,3,5,media,12,sim,Media
49,2,2,facil,14,nao_houve,Media
55,3,4,media,8,sim,Media
43,4,6,facil,11,nao_houve,Media
59,3,3,media,9,sim,Media
53,2,5,facil,13,nao_houve,Media
45,3,2,media,10,sim,Media
61,4,4,facil,12,nao_houve,Media
50,3,6,media,8,sim,Media
46,2,3,facil,15,nao_houve,Media
57,3,5,media,11,sim,Media
52,4,2,facil,9,nao_houve,Media
48,3,4,media,14,sim,Media
64,2,6,facil,10,nao_houve,Media
54,3,3,media,12,sim,Media
44,4,5,facil,8,nao_houve,Media
60,3,2,media,13,sim,Media
51,2,4,facil,11,nao_houve,Media
47,3,6,media,9,sim,Media
62,4,3,facil,15,nao_houve,Media
56,3,5,media,10,sim,Media
49,2,2,facil,12,nao_houve,Media
55,3,4,media,8,sim,Media
43,4,6,facil,14,nao_houve,Media
58,3,3,media,11,sim,Media
53,2,5,facil,9,nao_houve,Media
45,3,2,media,13,sim,Media
61,4,4,facil,10,nao_houve,Media
50,3,6,media,12,sim,Media
46,2,3,facil,8,nao_houve,Media
59,3,5,media,15,sim,Media
52,4,2,facil,11,nao_houve,Media
48,3,4,media,9,sim,Media
63,2,6,facil,13,nao_houve,Media
54,3,3,media,10,sim,Media
44,4,5,facil,12,nao_houve,Media
57,3,2,media,8,sim,Media
51,2,4,facil,14,nao_houve,Media
47,3,6,media,11,sim,Media
60,4,3,facil,9,nao_houve,Media
56,3,5,media,13,sim,Media
49,2,2,facil,10,nao_houve,Media
55,3,4,media,12,sim,Media
42,4,6,facil,8,nao_houve,Media
58,3,3,media,15,sim,Media
53,2,5,facil,11,nao_houve,Media
45,3,2,media,9,sim,Media
62,4,4,facil,13,nao_houve,Media
50,3,6,media,10,sim,Media
46,2,3,facil,12,nao_houve,Media
57,3,5,media,8,sim,Media
52,4,2,facil,14,nao_houve,Media
48,3,4,media,11,sim,Media
64,2,6,facil,9,nao_houve,Media
54,3,3,media,13,sim,Media
43,4,5,facil,10,nao_houve,Media
59,3,2,media,12,sim,Media
51,2,4,facil,8,nao_houve,Media
47,3,6,media,15,sim,Media
61,4,3,facil,11,nao_houve,Media
56,3,5,media,9,sim,Media
49,2,2,facil,13,nao_houve,Media
55,3,4,media,10,sim,Media
44,4,6,facil,12,nao_houve,Media
58,3,3,media,8,sim,Media
40,1,7,media,16,nao,Baixa
35,2,8,dificil,15,nao,Baixa
72,3,2,media,12,nao,Baixa
38,1,6,dificil,18,nao,Baixa
68,2,1,media,14,nao,Baixa
42,1,5,dificil,17,nao,Baixa
75,3,2,media,13,nao,Baixa
36,2,7,dificil,19,nao,Baixa
70,1,1,media,15,nao,Baixa
44,2,6,dificil,16,nao,Baixa
78,3,2,media,20,nao,Baixa
37,1,5,dificil,18,nao,Baixa
73,2,1,media,14,nao,Baixa
41,1,7,dificil,17,nao,Baixa
76,3,2,media,21,nao,Baixa
39,2,6,dificil,19,nao,Baixa
69,1,1,media,15,nao,Baixa
43,2,5,dificil,16,nao,Baixa
80,3,2,media,22,nao,Baixa
34,1,7,dificil,18,nao,Baixa
26,5,4,facil,7,sim,Alta
41,4,8,facil,5,nao_houve,Alta
37,5,6,facil,4,sim,Alta
32,4,7,facil,6,nao_houve,Alta
44,5,5,facil,3,sim,Alta
28,4,9,facil,5,nao_houve,Alta
39,5,7,facil,4,sim,Alta
33,4,6,facil,7,nao_houve,Alta
45,5,8,facil,3,sim,Alta
29,4,5,facil,6,nao_houve,Alta
40,5,9,facil,4,sim,Alta
31,4,7,facil,5,nao_houve,Alta
43,5,6,facil,3,sim,Alta
27,4,8,facil,7,nao_houve,Alta
38,5,5,facil,4,sim,Alta
34,4,9,facil,6,nao_houve,Alta
42,5,7,facil,3,sim,Alta
30,4,6,facil,5,nao_houve,Alta
36,5,8,facil,4,sim,Alta
25,4,5,facil,7,nao_houve,Alta

